က	when	one	respectively	another	only	once	however	that	first	both
ကခုန်	dancing	dances	dancers	dance	danced	singing	acrobatics	acrobatic	clapping	dancer
ကချေသည်	mythical	heroine	tragic	retelling	inspired	storyteller	retold	poet	immortalized	chronicled
ကချင်	kachin	rakhine	militias	paramilitary	nagaland	myanmar	shwe	ceasefire	manipur	arakan
ကချင်ပြည်နယ်တွင်	nagaland	kachin	mizoram	arunachal	state	modoc	jammu	assam	meghalaya	myanmar
ကစ၍	lombards	venetians	aristocracy	saxons	normans	galleys	muskets	ragusa	visigothic	carthaginians
ကစား	play	players	player	playing	played	football	soccer	plays	leagues	matches
ကစားကွက်	play	football	playing	players	soccer	player	basketball	played	leagues	footballing
ကစားကွင်း	soccer	football	players	teams	play	tournament	player	basketball	team	clubs
ကစားခဲ့	players	playing	played	play	soccer	football	player	coached	team	matches
ကစားချိန်	player	players	playing	play	played	team	matches	football	coached	match
ကစားခြင်း	players	play	playing	player	footballing	goalscoring	soccer	coaching	refereeing	playmaker
ကစားစရာ	players	playing	player	play	played	soccer	footballing	plays	goalkeeper	football
ကစားနေသော	players	player	playing	soccer	football	footballers	played	basketball	play	volleyball
ကစားနိုင်သော	players	adaptable	competitively	competitive	player	versatile	handball	clubs	pitches	difficult
ကစားနည်း	soccer	players	volleyball	player	football	basketball	tennis	playing	handball	sport
ကစားနည်းများ	players	teams	tournaments	athletes	clubs	soccer	competitions	volleyball	matches	fencers
ကစားပြီး	player	goalkeeper	players	soccer	squad	goalkeeping	volleyball	football	scorer	goalkeepers
ကစားပွဲ	matches	players	playing	play	match	played	player	tournament	game	team
ကစားပွဲစဉ်	matches	tournament	players	tournaments	match	played	player	team	play	competitions
ကစားပွဲများ	competitions	players	matches	clubs	tournaments	teams	venues	games	playing	contests
ကစားဖော်	player	teammates	players	teammate	team	playing	football	soccer	footballing	goalkeeper
ကစားရသော	players	player	playing	football	soccer	basketball	play	volleyball	footballing	goalkeeper
ကစားရာတွင်	player	players	goalkeeper	handball	soccer	midfielder	volleyball	matches	basketball	playmaker
ကစားရန်	players	player	soccer	basketball	football	volleyball	goalkeeper	teams	play	futsal
ကစားသမား	player	players	playing	play	goalkeeper	football	team	footballers	soccer	striker
ကစားသမားများ	players	player	footballers	teams	athletes	youngsters	playing	football	rosters	matches
ကစားသူ	player	players	playing	play	soccer	played	goalkeeper	football	basketball	volleyball
ကစားသော	players	player	soccer	playing	volleyball	football	basketball	play	played	tournament
ကစဉ့်ကလျား	factional	skirmishes	factions	infighting	disarray	confrontations	conflict	swiftly	bloodshed	conflicts
ကဆုန်	thursdays	tuesdays	wednesdays	fridays	tuesday	saturdays	mondays	friday	wednesday	thursday
ကဆုန်လဆန်း	tuesday	thursday	friday	wednesdays	wednesday	saturday	thursdays	tuesdays	fridays	saturdays
ကဆုန်လပြည့်	friday	tuesday	feast	thursday	saturday	tuesdays	wednesdays	thursdays	fridays	wednesday
ကဇာ	permissions	application	allow	infringing	instance	permitting	authorization	allowed	apply	revoke
ကဇာတ်ရုံ	theatre	theater	theatres	theaters	theatrical	cinemas	repertory	musicals	performances	cinema
ကတိ	promised	pledging	pledges	promise	promises	pay	paying	proposing	demanded	insisting
