1176	မစ္စတာတာနာခါဟာ ကျောင်းသား မဟုတ်ပါဘူး။	Mr. Tanaka is not a student.
1178	အဖေက ကျောင်းဆရာပါ။	My father is a teacher.
1180	ကျောင်းပိတ်တယ်။	The school is closed.
1194	တိုကျိုမှာ နေသာတယ်။	It's sunny in Tokyo.
1222	ပန်းခြံမှာ သစ်ပင်တွေ ရှိတယ်။	There are trees in the park.
1229	မစ္စတာတာနာခါ ဘယ်မှာ ရှိသလဲ။	Where is Mr. Tanaka?
1233	ပိုက်ဆံ မရှိဘူး။	I haven't any money.
1244	စာရေးခုံပေါ်မှာ စာအုပ် ရှိတယ်။	The book is on the desk.
1245	စာရေးခုံအောက်မှာ လွယ်အိတ် ရှိတယ်။	The bag is under the desk.
1246	အိတ်ထဲမှာ မှတ်စုစာအုပ် ရှိတယ်။	Inside the bag, is a note book.
1247	မစ္စတာတာနာခါရဲ့ ညာဘက်မှာ မစ္စတာယာမာဒါ ရှိတယ်။	On the right side of Mr. Tanaka, is Mr. Yamada.
1248	မစ္စတာတာနာခါရဲ့ ဘယ်ဘက်မှာ မစ္စတာခိမုရ ရှိတယ်။	On the left side of Mr. Tanaka, is Mr. Kimura.
1249	အိမ်ရဲ့ အရှေ့မှာ ကြောင် ရှိတယ်။	There is a cat in front of the house.
1250	အိမ်ရဲ့ အနောက်ဘက်မှာ ကား ရှိတယ်။	There is a car behind the house.
1251	စာတိုက်ပုံးက အိမ်နဲ့ မျက်နှာချင်းဆိုင်မှာ ရှိတယ်။	The mailbox is on the opposite side of the house.
1254	မစ္စတာယာမာဒါက စာသင်ခန်းရဲ့ အပြင်မှာ ရှိတယ်။	Mr. Yamada is at outside of the class.
1255	အိမ်ရဲ့ အရှေ့က ပန်းခြံပါ။	In front of the house, is a garden.
1257	ကျောင်းက အိမ်နားမှာပါ။	The school is near the house.
1258	စာအုပ်က လွယ်အိတ်ထဲမှာပါ။	The book is inside the bag.
1259	ကျွန်တော့် ဘောပင်က ဒီဟာပါ။	This is my pen.
1264	ဂျပန်စာစာသင်ခန်းက ဘယ်မှာလဲ။	Where is the Japanese class?
