the story of jan darra	จัน ดารา
Utsana Phleungtham, translated by Phongdeit Jaingphatthanarkit	อุษณาเพลิงธรรม
pages 77-87	หน้า ๑๑๗ - ๑๓๓
...At night, Mrs Bunlueang's library was like a new abode of peace and bliss for me.	ในตอนกลาง คืน ที่ห้อง สมุดของคุณ บุญเลื่อง เป็นเสมือนที่สงัด อันบรม สุข แห่งใหม่ ของผม
Sometimes, we hardly spoke to each other.	บางทีเราแทบจะ ไม่ ได้พูดกันเลย ก็มี
She was engrossed in her book while I struggled through mine.	เธอเพลิดเพลินกับหนังสือของเธอ ผม ก็ขะมักเขม้น อยู่กับ เล่มของผม
The real enjoyment derived surreptitiously from her reclining position on the sofa.	ส่วน ความเพลิดเพลินที่แท้ จริงนั้น ที่มัก จะลอบ ไปเคล้าเคลีย อยู่กับ ท่านอนของเธอที่โซฟา
She liked to dress lightly and casually at home, and usually wore thin, loose-fitting clothes.	เธอชอบแต่ง ตัวตามสบาายอย่างเปิด เผย เวลา อยู่กับ บ้าน เสื้อ ผ้าของเธอ เนื้อบาง และหละหลวม
And it was in those moments that she helped me collect deep insights on the art of nudity which would overwhelm me much later.	ในระหว่าง เวลา เหล่านั้น แหละที่เธอมี ส่วน ได้ ช่วย ให้ผม สั่งสมจิตตารมณ์ อันดื่มด่ำที่มีต่อศิลปะภาพนู้ดอย่างจับ จิตจับ ใจ ในภานหลังเมื่อนานมา
On some nights after she had gone to bed I remained there alone until very late.	และบาง คืนจนเธอ ขึ้นนอน แล้ว ผม ก็ ยังจม อยู่ที่นั่นคนเดียวจน ดึกจนดื่น
It was in her library and in this way that I got my first inklings of domestic life.	ผมรู้จักชีวิตบ้านเบี้องแรก ที่ห้อง สมุดของคุณ บุญเลื่องนั้น เอง และ ด้วยประการฉะนี้ เอง
