mad dogs & co	พันธุ์หมาบ้า
Chart Korbjitti, translated by Marcel Barang	ชาติ กอบจิตติ
pages 13-29	หน้า ๑๓-๒๙
LEAD-UP	นำร่อง
The sea at that time had turned pitch-black and glossy.	ทะเลยามนี้สีดำมะเมื่อมราวกับ สีของ ความ มืด
Bulging monsoon clouds blurred the sky above.	ท้องฟ้าเบี้องบน ขุ่นคลั่ก ด้วยมวลเมฆมรสุม
Vicious blasts of wind pounced, relentlessly pushing rain and waves to the shore.	แรงลมโหมกระชั้น กระชากมา ไม่ขาดสาย หอบฝนหอบ คลื่นเคลื่อน เข้าหา ฝั่ง
An army of huge waves sent endless reinforcements.	ทัพ คลื่นทะมึนเนื่อง หนุนมา ไม่ หยุดหย่อน
Upon reaching the shore, these gloomy walls of water coiled up and crashed thunderously on the seafloor.	เมื่อใกล้ ฝั่ง ก็ม้วน ตัว เป็น เกลียวสงกระแทกกับ พื้น น้ำ
Wave after wave came crashing and crashing in a ceaseless, caroming cannonade, rushing to the assault one after another to force the beach to recede, but the beach stayed put and refused to yield, and they retreated in a sizzling slush of seawater.	เสียงครึนครืนสนั่น คลื่น แล้ว คลื่น เล่าครืน - ครืน ไม่ขาด เสียง ไล่เรียง เข้าหาหาด ถาโถม เข้ามาดั่ง จะผลักไส ให้ชายหาดร่นหนี แต่หาดทราย ยัง ยืนหยัดสงบ นิ่ง ไม่เคลื่อนถอย มี แต่ผลัก ดัน น้ำทะเล กลับลงห้วง แห่งเดิม
Wave after wave had to regress with the lame look of a loser, leaving behind white foam that smeared the sand with telltale signs of defeat, but still more waves came rolling in impetuously, doomed yet undaunted.	คลื่นลูก แล้วลูก เล่าต้องไหลเลียดลงทะเล ด้วยลีลาของ ผู้แพ้ เหลือ เพียงฟองขาวเล็กๆ ไล้กับ ชายหาด คล้าย เป็นร่องรอยของ ความพ่ายแพ้หลง เหลือ อยู่ แต่ คลื่นลูกใหม่ ยังฮึกเหิม เข้าหาอย่างมิรู้ เข็ดหลาบ
The sun had gone into hiding, as if it did not want to know what was raging on.	ดวงตะวัน ยามนี้ หลบเร้น เหมือน ไม่ อยากรับ รู้ เรื่อง ราว
There was not a human soul in sight on the wide open stretch of the beach, which was strewn with deadwood, torn nets, plastic bags, rotten fish and lots more garbage swept up and thrown onto the sand, as if the sea meant to tell the beach it did not want any of this rubbish.	เวิ้งหาดยาวเหยียดร้างผู้คน พื้นหาดเกลื่อน ด้วย เศษ ไม้เศษอวน ถุงพลาสติก ปลาเน่า และเศษ อื่น อีกมากมาย มัน เป็นเศษที่ทะเล กวาดต้อน ขึ้นมา ทิ้ง ไว้กับ ชายหาด ดั่ง จะบ่งบอกกับ ชายหาดว่าเศษซาก เหล่านี้ มัน ไม่ต้องการ
Three or four local dogs were foraging for food on the beach, undeterred by the raging downpour.	หมาพันธุ์ พื้นเมือง สามสี่ ตัว เวียนวน วิ่งหา อาหาร อยู่ชาดหาด ไม่ หวาดหวั่น ห่าฝนที่สาดซ่าลงมา
The smallest of them stood gnawing a dead fish and snarling at the other dogs, which came sniffing around, looking for an opening, and soon a war started under the pelting rain.	เจ้าตัวเล็ก ยืนแทะซากปลา ใน ขณะ คำรามขู่ เจ้า ตัว ใหญ่จดจ้อง เข้าดมดอม และ แล้วสงคราม ก็เกิด ขึ้นท่ามกลางสายฝน
Way beyond the beach, luxuriant rows of green coconut trees bowed low in sheer terror of the wind, as if they were putting their last resources in a fight to survive the monsoon and make it to the next dry season, when they would stand still and strong as ever, merely flicking the tips of their fronds as they played with the breeze.	ลึกเลยชายหาดเข้า ไป ทิว มะพร้าว เขียวไสวกำลังบิดกายอย่าง หวาดกลัวต่อ แรงลม เหมือนมันกำลังต่อ สู้อย่าง สุดฤทธิ์ เพื่อ จะ ยืน อยู่ ให้ฤดู มรสุมผ่านพ้น ไป รอคอยฤดู ร้อน จะมา ถึง ฤดู ที่มันเคย ยืน นิ่ง แข็งแกร่ง เพียงพลิกพลิ้ว ใบล้อ เล่นกับ สายลมอ่อนอย่าง สนุกสนาน
