The Muddy Path	ทางโคลน
by Paitoon Thanya, translated by Tom Glass	ไพฑูรย์ ธัญญา - ประพันธ์ ทอม แกลส - แปล
Every time he took his five-year-old grandson by the hand and led him from the classroom, he said, "He's just a child!	ทุกครั้ง ที่พ่อเฒ่าจูงมือหลานชายวัย ห้าขวบของแก เดินเลี่ยงออกจากห้องเรียน แก จะพูดว่า " ก็ไอ้หนูมัน ยัง เด็ก อยู่นี่นา
Children need time, you see?"	เด็กๆ มัน ก็ต้องการ เวลาบ้างนั่นแหละ"
He spoke happily and smiled at me as if he were apologizing for something.	แกจะพูดอย่าง อารมณ์ดี และยิ้ม ให้ผมอย่างขอ โทษขอโพย ใน ตัว
He was a cheerful old man with a smile always playing at the corners of his mouth.	แกเป็นคน แก่ อารมณ์ดี จริงๆ รอยยิ้ม ฉาบ อยู่ที่ มุมปากของแก ตลอด เวลา
It was an optimistic smile, mixed with a little trickiness, too.	มันเป็นรอยยิ้ม ของคนที่มี ความ สุข มองโลก ในแง่ดี และเจือ ด้วย ความเจ้า เล่ห์เพทุบายเล็ก น้อย
Maybe it was that smile that made me stand and, without a word of protest, watch him lead his grandson out of the school building.	ด้วยรอยยิ้ม นี้ กระมังที่ทำ ให้ผมต้อง ยืนดูแกจูงมือหลานชาย เดินต้อยๆ ลงจากอาคารเรียน โดย ไม่ทักท้วงอะไรสัก คำ
But the kindergarten teacher didn't like that kind of smile, as she had let me know often enough already.	ทว่าครูประจำชั้นเด็กเล็ก ไม่ชอบรอยยิ้ม แบบนี้ เธอเคยต่อว่าผมมา แล้วหลาย ครั้ง
"You're the principal!" she told me. Why don't you tell him? Tell him that once the children come to school, they are in the care of the teachers.	"ทำไมครูใหญ่ ไม่ ห้ามแกบ้างละคะ บอก ให้แกรู้ สิว่าเมื่อมา ถึงโรงเรียน แล้ว เด็กน่ะ จะต้อง อยู่ ใน ความดุแลของครู
Doesn't our school have any rules?"	และโรงเรียนของเรา ก็ ยังมีกฎระเบียบ อยู่มิใช่หรือ"
I didn't argue with her.	ผมไม่ เถียงเธอหรอก
And I accepted that everything she said was correct.	และยอมรับ ว่าเธอพูด ถูกทุกอย่าง
