The Wonderful Wizard of Oz	พ่อมดมหัศจรรย์แห่งออซ
L. Frank Baum, translated by Charnvit Kasetsiri	แอล. แฟรงก์ โบม :เขียน, ดร. ชาญวิทย์เกษตรศิริ : ผู้ แปล
Chapter 1. The Cyclone	บทที่ 1 พายุไซโคลน
Dorothy lived in the midst of the great Kansas prairies, with Uncle Henry, who was a farmer, and Aunt Em, who was the farmer's wife.	โดโรธีอาศัย อยู่ท่ามกลาง ทุ่ง ใหญ่ ในแคนซัส กับ ลุงเฮนรีชาว ไร่ และป้าเอ็มภรรยาชาว ไร่
Their house was small, for the lumber to build it had to be carried by wagon many miles.	บ้านของพวกเขาหลังเล็ก เพราะ ไม้ สร้างบ้านต้องขนมา ด้วยเกวียน เป็นระยะทางหลายไมล์
There were four walls, a floor and a roof, which made one room; and this room contained a rusty looking cookstove, a cupboard for the dishes, a table, three or four chairs, and the beds.	บ้านมีสี่ฝา มี พื้นกับ หลังคารวมทำ เป็นห้องเดียว ในห้องมี ทั้งเตาหุงต้มที่สนิมดู ขึ้นเลอะ มี ตู้ ใส่ถ้วย ชาม โต๊ะ เก้าอี้สาม หรือสี่ ตัว แล้ว ก็มีเตียงนอน
Uncle Henry and Aunt Em had a big bed in one corner, and Dorothy a little bed in another corner.	ลุงเฮนรีกับป้าเอ็มมีเตียงนอน ใหญ่ อยู่ที่ มุมหนึ่ง ส่วนโดโรธีมีเตียงเล็ก อีกที่ มุมหนึ่ง
There was no garret at all, and no cellar--except a small hole dug in the ground, called a cyclone cellar, where the family could go in case one of those great whirlwinds arose, mighty enough to crush any building in its path.	ไม่มีห้อง ใต้เพดานเลย ห้อง ใต้ถุน ก็ ไม่มี เว้น แต่มีโพรงเล็กๆที่ขุด ไป ใต้ พื้น เรียกว่า ``โพรงไซโคลน เป็นที่ครอบครัว นี้ จะมุด เข้า ไปเมื่อเกิด ลมมหาภัย ซึ่งกระโชก แรงจนบดขยี้ สิ่งก่อ สร้าง ใดๆที่ ขวางทางมัน ได้
It was reached by a trap door in the middle of the floor, from which a ladder led down into the small, dark hole.	ตรงกลางพื้นมี ฝาเปิด เข้า ไป จากนั้น มีบันไดลง ไป ถึงโพรง มืดเล็กๆ
When Dorothy stood in the doorway and looked around, she could see nothing but the great gray prairie on every side.	เมื่อโดโรธียืนที่ปากประตู และมอง ไปรอบๆ เธอ ไม่ เห็นอะไรนอกจากท้อง ทุ่งกว้างสีเทาหม่น ทั่วทุก ด้าน
Not a tree nor a house broke the broad sweep of flat country that reached to the edge of the sky in all directions.	ไม่มี แม้ต้น ไม้สักต้นหรือบ้านสักหลังที่โผล่พ้นภูมิ ประเทศ อันราบเรียบแผ่ ไป ไกลจนจดขอบ ฟ้า ทั่วทุกทิศ
The sun had baked the plowed land into a gray mass, with little cracks running through it.	ดวงตะวัน เผาผืนดินที่ไถ แล้วจนกลาย เป็น แผ่นมหึมาสีดำ มีรอย แตกระแหง อยู่ ตลอด
Even the grass was not green, for the sun had burned the tops of the long blades until they were the same gray color to be seen everywhere.	แม้ แต่ หญ้า ก็ ไม่ เขียว เพราะดวง ตะวัน เผายอด ใบยาว เสียจน เป็นสีเทาหม่นมอง เห็น อยู่ ทั่ว ไป
Once the house had been painted, but the sun blistered the paint and the rains washed it away, and now the house was as dull and gray as everything else.	ครั้ง หนึ่ง เคยทาสีบ้าน เอา ไว้ แต่ ก็ ถูกดวง ตะวัน เผา เสียจนสีพอง แล้วฝน ก็ชะมันหลุด ไปจนหมด และตอนนี้ บ้านจึงดูหม่นหมอง เป็นสีเทา เหมือน สิ่ง อื่นๆ ด้วย
When Aunt Em came there to live she was a young, pretty wife.	ตอนที่ป้าเอ็มย้ายมาอยู่ที่นี่ เธอ ยังสาว เป็นภรรยาที่งดงาม
The sun and wind had changed her, too.	แล้ว แดด และลม ก็ ได้ เปลี่ยนเธอ ไป
They had taken the sparkle from her eyes and left them a sober gray; they had taken the red from her cheeks and lips, and they were gray also.	เอาประกาย ไปจากดวงตาเธอ ปล่อย ไว้ แต่ ความ สุขุมอย่างหม่นหมอง เอาสีแดง จาก แก้ม และริม ฝีปากเธอ ไป กลาย เป็นสีหม่นๆ เหมือนกัน
She was thin and gaunt, and never smiled now.	เธอผอมและหลังโค้ง และเดี๋ยวนี้ ไม่เคยยิ้ม เลย
When Dorothy, who was an orphan, first came to her, Aunt Em had been so startled by the child's laughter that she would scream and press her hand upon her heart whenever Dorothy's merry voice reached her ears; and she still looked at the little girl with wonder that she could find anything to laugh at.	เมื่อโดโรธีซึ่ง เป็น เด็กกำพร้ามา อยู่กับ เธอตอนแรก ป้าเอ็ม ตื่น เต้นกับ เสียง หัวเราะ ของ เด็ก น้อยมาก เธอ จะส่ง เสียงร้อง แล้ว เอามือทาบอกทุก ครั้ง ที่ เสียง อันร่าเริงของโดโรธี เข้าหูเธอ และเธอเฝ้ามอง เด็ก หญิง น้อยๆ ด้วย ความประหลาด ใจ ด้วย ยังหาอะไรมา เป็นเรื่อง หัวเราะ ได้
Uncle Henry never laughed.	ลุงเฮนรีไม่เคย หัวเราะ
He worked hard from morning till night and did not know what joy was.	ลุงทำงานหนักจากเช้า ยัน ค่ำ และ ไม่เคยรู้ จักว่า ความร่าเริงคืออะไร
He was gray also, from his long beard to his rough boots, and he looked stern and solemn, and rarely spoke.	ลุงดูหม่นหมองไปหมด ตั้ง แต่เครายาวจนจดรอง เท้าบูต อัน หยาบ แล้วลุง ก็ดูเคร่งขรึมน่า เกรงขาม ไม่ค่อย จะพูด
It was Toto that made Dorothy laugh, and saved her from growing as gray as her other surroundings.	มีโตโต้ที่ทำ ให้โดโรธี หัวเราะ ได้ และ ช่วยเธอ ให้พ้นจากการกลาย เป็นสีเทาหม่น เหมือนกับ สิ่งรอบ ตัว อื่นๆ
Toto was not gray; he was a little black dog, with long silky hair and small black eyes that twinkled merrily on either side of his funny, wee nose.	โตโต้สี ไม่เทาหม่น แต่มัน เป็นหมาสีดำ ตัว น้อยๆ ขนยาวปุยราวกับ ไหม มีตาดำเล็ก เป็นประกายรื่นเริง อยู่สองข้าง จมูกเล็ก อันน่าขันของมัน
Toto played all day long, and Dorothy played with him, and loved him dearly.	โตโต้ เล่น ทั้งวัน และโดโรธี ก็ เล่นกับ มัน และรักมัน เหลือ เกิน
Today, however, they were not playing.	อย่างไรก็ตาม วัน นี้ ทั้ง คู่ ไม่ ได้ เล่น
