Burmese	English	Gender
ေအာင္	Aung 	M
ေအာင္ေအာင္	Aung Aung 	M
ေအာင္ေအာင္လြင္	Aung Aung Lwin 	M
ေအာင္ေအာင္ဦး	Aung Aung Oo 	M
ေအာင္ေအာင္စိုး	Aung Aung Soe 	M
ေအာင္ေအး	Aung Aye 	M
ေအာင္ဘ	Aung Ba 	M
ေအာင္ေဘာ္	Aung Baw 	M
ေအာင္ဘို၊ ေအာင္ဗိုလ္	Aung Bo 	M
ေအာင္ခ်ိန္	Aung Chain 	M
ေအာင္ခ်မ္း	Aung Chan 	M
ေအာင္ခ်ိန္း	Aung Chein 	M
ေအာင္ခ်စ္	Aung Chit 	M
ေအာင္ခ်ဳိ	Aung Cho 	M
ေအာင္ခ်ဳိဦး	Aung Cho Oo 	M
ေအာင္ခ်မ္း	Aung Chun 	M
ေအာင္ဒင္	Aung Din 	M
ေအာင္ႀကီး	Aung Gyi 	M
ေအာင္ဟန္	Aung Han 	M
ေအာင္ဟိန္း	Aung Hein 	M
ေအာင္လွ	Aung Hla 	M
ေအာင္လွထြန္း	Aung Hla Tun 	M
ေအာင္လႈိင္	Aung Hlaing 	M
ေအာင္ေဌး	Aung Htay 	M
ေအာင္ေဌးလြင္	Aung Htay Lwin 	M
ေအာင္ေဌးဦး	Aung Htay Oo 	M
ေအာင္ေဌးဝင္း	Aung Htay Win 	M
ေအာင္ထိုက္	Aung Htike 	M
ေအာင္ထူး	Aung Htoo 	M
ေအာင္ထြဋ္	Aung Htut 	M
ေအာင္ေထြး	Aung Htwe 	M
ေအာင္ခ	Aung Kha 	M
ေအာင္ခိုင္	Aung Khaing 	M
ေအာင္ခိုင္ဦး	Aung Khaing Oo 	M
ေအာင္ခိုင္ဝင္း	Aung Khaing Win 	M
ေအာင္ခန္႔	Aung Khant 	M
ေအာင္ခင္	Aung Khin 	M
ေအာင္ခင္ဆင့္	Aung Khin Sint 	M
ေအာင္ခင္စိုး	Aung Khin Soe 	M
ေအာင္ခင္ေဇာ္	Aung Khin Zaw 	M
ေအာင္ကို	Aung Ko 	M
ေအာင္ကိုကို	Aung Ko Ko 	M
ေအာင္ကိုလတ္	Aung Ko Lat 	M
ေအာင္ကိုဦး	Aung Ko Oo 	M
ေအာင္ကိုဝင္း	Aung Ko Win 	M
ေအာင္ႀကိဳင္	Aung Kyaing 	M
ေအာင္ေက်ာ္	Aung Kyaw 	M
ေအာင္ေက်ာ္ဟိန္း	Aung Kyaw Hein 	M
ေအာင္ေက်ာ္ေဌး	Aung Kyaw Htay 	M
ေအာင္ေက်ာ္ထူး	Aung Kyaw Htoo 	M
ေအာင္ေက်ာ္ခိုင္	Aung Kyaw Khaing 	M
ေအာင္ေက်ာ္ေက်ာ္	Aung Kyaw Kyaw 	M
ေအာင္ေက်ာ္လင္း	Aung Kyaw Lin 	M
ေအာင္ေက်ာ္လြင္	Aung Kyaw Lwin 	M
ေအာင္ေက်ာ္မင္း	Aung Kyaw Min 	M
ေအာင္ေက်ာ္မိုး	Aung Kyaw Moe 	M
ေအာင္ေက်ာ္ျမင့္	Aung Kyaw Myint 	M
ေအာင္ေက်ာ္ႏိုင္	Aung Kyaw Naing 	M
ေအာင္ေက်ာ္ၫြန္႔	Aung Kyaw Nyunt 	M
ေအာင္ေက်ာ္ဦး	Aung Kyaw Oo 	M
ေအာင္ေက်ာ္စန္း၊ ေအာင္ေက်ာ္ဆန္း	Aung Kyaw San 	M
ေအာင္ေက်ာ္စိန္	Aung Kyaw Sein 	M
ေအာင္ေက်ာ္စိုး	Aung Kyaw Soe 	M
ေအာင္ေက်ာ္သန္း	Aung Kyaw Than 	M
ေအာင္ေက်ာ္သိန္း	Aung Kyaw Thein 	M
ေအာင္ေက်ာ္သက္	Aung Kyaw Thet 	M
ေအာင္ေက်ာ္သူ	Aung Kyaw Thu 	M
ေအာင္ေက်ာ္တင့္	Aung Kyaw Tint 	M
ေအာင္ေက်ာ္ထြန္း	Aung Kyaw Tun 	M
ေအာင္ေက်ာ္ဝင္း	Aung Kyaw Win 	M
ေအာင္ေက်ာ္ဇံ	Aung Kyaw Zan 	M
ေအာင္ေက်ာ္ေဇာ	Aung Kyaw Zaw 	M
ေအာင္ၾကည္	Aung Kyi 	M
ေအာင္ၾကည္	Aung Kyi 	F
ေအာင္ၾကည္ျမင့္	Aung Kyi Myint 	M
ေအာင္ၾကည္သိန္း	Aung Kyi Thein 	M
ေအာင္ၾကည္ဝင္း	Aung Kyi Win 	M
ေအာင္က်င္	Aung Kyin 	M
