Genre	English	Pronunciation	Burmese
General Conversation	How are you?	nei-kaun-ye့-la?	ေနေကာင္းရဲ႕လား။
General Conversation	Have you eaten yet?	sa:-pi:-bi-la:?	စားျပီးျပီလား။
General Conversation	Where're you going?	be thwa:- mƏ-le:	ဘယ္ သြားမလဲ
General Conversation	goodbye	thwa:-bi 	သြားျပီ
General Conversation	[I'm ] fine.	nei-kaun:-ba-de.	ေနေကာင္းပါတယ္
General Conversation	[I'm ] not so well	mƏ-kaun:-bu: 	မေကာင္းဘူး
General Conversation	so-so, normal	di-lo-be: 	ဒီလိုပဲ။
General Conversation	See you later.	nau'-hma twei-me. 	ေနာက္မွ ေတြ႕မယ္
General Conversation	See you tomorrow.	me-ne'-hpyan twei-me. 	မနက္ျဖန္ ေတြ႕မယ္
General Conversation	Pleased to meet you.	twei-ya-da wun:-tha-ba-de 	ေတြ႕ရတာ ဝမ္းသာပါတယ္
General Conversation	Thank you.	jei:-zu:-tin-ba-de. 	ေက်းဇူး တင္ပါတယ္
General Conversation	I'm sorry 	sc-ri:-nc? 	ေဆာရီးေနာ္
General Conversation	what?	ba-le: 	ဘာလဲ
General Conversation	where?	be-hma-le: 	ဘယ္မွာလဲ
General Conversation	when?	be-dc-le: 	ဘယ္ေတာ့လဲ
General Conversation	why?	ba-hpyi'-lo-le: 	ဘာျဖစ္လို႔လဲ။
General Conversation	how much?	be-lau'-le: 	ဘယ္ေလာက္လဲ
General Conversation	who?	be-dhu 	ဘယ္သူ
General Conversation	whose?	be-dhu-ha-le: 	ဘယ္သူ႔ဟာလဲ။
General Conversation	What do you want to do?	 ba lo'-chin-le:? 	ဘာ လုပ္ခ်င္လဲ။
General Conversation	Where's the bathroom?	ein-dha be-hma-le:? 	အိမ္သာ ဘယ္မွာလဲ။
General Conversation	market	zei:	ေစ်း
General Conversation	hotel	ho-te	ဟိုတယ္
General Conversation	hospital	hsei:-yon	ေဆးရုံ
General Conversation	airport	lei-zei'	ေလဆိပ္
General Conversation	embassy	than-yon:	သံရံုး
General Conversation	this	da	ဒါ
General Conversation	that	e:da	အဲဒါ
General Conversation	here	di-hma	ဒီမွာ
General Conversation	there	e:di-hma	အဲဒီမွာ
General Conversation	over there	ho-hma	ဟိုမွာ
General Conversation	Whats this?	da-ba-le:?	ဒါဘာလဲ
General Conversation	What's that?	e:da ba le:?	အဲဒါဘာလဲ
General Conversation	Whose is that?	da be dhu-ha-le:	ဒါ ဘယ္သူ႔ဟာလဲ။
General Conversation	hello? (on the phone)	he:-lo	ဟဲလို
General Conversation	Is John home?	jon ein-hma-la:?	ဂ်ြန္ အိမ္မွာလား
General Conversation	I'd like to speak with John 	jon-ne pyo:-jin-de.	ဂ်ြန္နဲ႔ ေျပာခ်င္တယ္။
General Conversation	John is not home.	jon ein-hma mƏ-shi-bu'	ဂ်ြန္ အိမ္မွာ မရွိဘူး
General Conversation	really	dƏ-ge 	တကယ္
General Conversation	right?	-nc? 	ေနာ္
General Conversation	if	yin	ရင္
General Conversation	because	lo့့	လိို႔
General Conversation	not yet…	mƏ-…-thei:-bu:	မ...ေသးဘူး
General Conversation	[I'm] finished already.	pi:-thwa:bi	ျပီးသြားျပီ။
General Conversation	but	da-bei-me့	ဒါေပမဲ့
General Conversation	didn't, don't	me-…-bu:	မ...ဘူး
General Conversation	Don't do that.	da me-lo' -ne့	ဒါမလုပ္နဲ႔။
General Conversation	Don't go.	ma- thwa: -ne့	မသြားနဲ႔။
General Conversation	please 	pa ba (particle)	ပါ
General Conversation	What is your name?	na- me-be-lo-hkc-le:	နာမည္ ဘယ္လိုေခၚလဲ။
General Conversation	[My] name is john.	na- me jon-ba	နာမည္ ဂ်ြန္ပါ။
General Conversation	What kind of work do you do?	ba lo'-the-le:?	ဘာ လုပ္သလဲ။
General Conversation	I'm a doctor.	hse-ya-wun-ba.	ဆရာဝန္ပါ။
General Conversation	lawyer	shei့-nei	ေရွ႕ေန
General Conversation	soldier	si'-tha:	စစ္သား
General Conversation	student (m)	jaun:-dha	ေက်ာင္းသား
General Conversation	student (f)	jaun:-dhu	ေက်ာင္းသူ
General Conversation	professor	pa-mau'-hka	ပါေမာကၡ
General Conversation	engineer	in-jin-ni-ya	အင္ဂ်င္နီယာ
General Conversation	tourist	tu:-ri'	တူးရစ္
General Conversation	monk	hpon:-ji:	ဘုန္းျကီး
General Conversation	Where are you from?	be-ga-la-dhe-le:?	ဘယ္ကလာသလဲ။
